key,faboc_store,unit_filter,hp_name,kind,mode,page_path,list_page,publish,campaign,note
tanasawa,棚沢,コンテナ,棚沢,outdoor,type,/atsugi/tanasawa,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadakita_a,妻田北A,コンテナ,妻田北A,outdoor,type,/atsugi/tumadakita/a,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadakita_a_bike,妻田北A,バイク,妻田北A,bike,room,/atsugi/tumadakita/a/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
tumadahigasi,妻田東,コンテナ,妻田東,outdoor,type,/atsugi/tumadahigasi,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
nakaogino,中荻野,コンテナ,中荻野,outdoor,type,/atsugi/nakaogino,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
nakaogino_bike,中荻野,バイク,中荻野,bike,room,/atsuginakaogino/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
nakatu_a,中津A,コンテナ,中津A,outdoor,type,/aikawa/nakatu/a,/okugai/aikougunaikawamati,1,６か月以上利用で初月賃料無料,
nagatake,長竹　閉鎖,,長竹,outdoor,type,,,0,,閉鎖のため非公開
simoogino_a,下荻野Ａ,コンテナ,下荻野A,outdoor,type,/atsugi/simoogino/a,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
hayakawa,早川,コンテナ,早川,outdoor,type,/ayase/hayakawa,/okugai/ayase,1,６か月以上利用で初月賃料無料,
hayasi_a,林A,コンテナ,林A,outdoor,type,/atsugi/hayasi/a,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
hayasi_b,林B,コンテナ,林B,outdoor,type,/atsugi/hayasi/b,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
hayasi_c,林C,コンテナ,林C,outdoor,type,/atsugi/hayasi/c,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
hayasi_d,林D,コンテナ,林D,outdoor,type,/atsugi/hayasi/d,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
hayasi_d_bike,林D,バイク,林D,bike,room,/atsugi/hayasi/d/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,ファボック上はUNIT=コンテナ・種別◎KCS1250
iiyama,飯山,コンテナ,飯山,outdoor,type,/atsugi/iiyama,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadanisi_c,妻田西Ｃ,コンテナ,妻田西C,outdoor,type,/atsugi/tumadanisi/c,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadanisi_c_bike,妻田西Ｃ,バイク,妻田西C,bike,room,/atsugi/tumadanisi/c/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
asahicyo_tr,TR旭町,トランクルーム,TR旭町,indoor,room,/atsugi/asahicyo/tr,/okunai/atsugi,1,６か月以上利用で初月賃料無料,
tumadakita_b,妻田北Ｂ,コンテナ,妻田北B,outdoor,type,/atsugi/tumadakita/b,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
tumadakita_b_bike,妻田北Ｂ,バイク,妻田北B,bike,room,/atsugi/tumadakita/b/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
sakuramori,桜森１丁目,コンテナ,桜森1丁目,outdoor,room,/yamato/sakuramori,/okugai/yamato,1,６か月以上利用で初月賃料無料,HPは室番号ごとの表
sakuramori_bike,桜森１丁目,バイク,桜森1丁目,bike,room,/yamato/sakuramori/bike,/bike/yamato,1,６か月以上利用で初月賃料無料,
hanbara,半原,コンテナ,半原,outdoor,type,/aikawa/hanbara,/okugai/aikougunaikawamati,1,６か月以上利用で初月賃料無料,
hiratsukaakashi_tr,TR平塚明石町,トランクルーム,TR平塚明石町,indoor,room,/hiratsukaakashi/tr,/okunai/hiratsuka,1,６か月以上利用で初月賃料無料,
saiwaicyou_bike,幸町,バイク,幸町,bike,room,/atsugisaiwaicyou/bk,/bike/atsugi,1,６か月以上利用で初月賃料無料,
nakashinden_bike,中新田,バイク,中新田,bike,room,/ebinanakashinden/bk,/bike/ebina,1,６か月以上利用で初月賃料無料,
simoimaizumi,下今泉,コンテナ,下今泉,outdoor,type,/ebina/simoimaizumi,/okugai/ebina,1,６か月以上利用で初月賃料無料,
simoimaizumi_bike,下今泉,バイク,下今泉,bike,room,/ebinasimoimaizumi/bk,/bike/ebina,1,６か月以上利用で初月賃料無料,
simoogino_d,下荻野D,コンテナ,下荻野D,outdoor,type,/atsugi/simoogino/d,/okugai/atsugi,1,６か月以上利用で初月賃料無料,
simoogino_d_bike,下荻野D,バイク,下荻野D,bike,room,/atsugi/simoogino/d/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
tamuracyou_bike,田村町,バイク,田村町,bike,room,/atsugitamuracyou/bk,/bike/atsugi,1,６か月以上利用で初月賃料無料,
hadanohoncyou_tr,TR秦野本町,トランクルーム,TR秦野本町,indoor,room,/hadanohoncyou/tr,/okunai/hadano,1,６か月以上利用で初月賃料無料,
tumadanisi_bike,妻田西,バイク,妻田西,bike,room,/atsugitumadanishi/bike,/bike/atsugi,1,６か月以上利用で初月賃料無料,
tsurumakionsen_tr,鶴巻温泉駅前,トランクルーム,鶴巻温泉駅前,indoor,room,/tsurumakionsenekimae/tr,/okunai/hadano,1,６か月以上利用で初月賃料無料,
asahicyo_bike,旭町,バイク,旭町,bike,room,/atsugiasahicyou/bk,/bike/atsugi,1,６か月以上利用で初月賃料無料,
nakasinden_a,中新田A,トランクルーム,中新田A,outdoor,room,/ebina/nakasinden/a,/okugai/ebina,1,６か月以上利用で初月賃料無料,ファボック上はUNIT=トランクルームだがHPは屋外型
nakatu_c,中津C,コンテナ,中津C,outdoor,type,/aikawa/nakatu/c,/okugai/aikougunaikawamati,1,６か月以上利用で初月賃料無料,
nakatu_c_bike,中津C,バイク,中津C,bike,room,/aikawa/nakatu/c/bk,/bike/aikougunaikawamati,1,６か月以上利用で初月賃料無料,
